epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.5881,3.61457,5.87171,2.86715,0.00278,0.83333,0.01626,0.0059,3.12848,4.8535,2.52066,6e-05,6e-05,6e-05
2,184.878,2.56684,3.59986,2.02028,0.48663,0.5,0.59581,0.35121,1.87923,2.59351,1.34844,0.000139307,0.000139307,0.000139307
3,275.892,1.88674,2.11401,1.59381,0.07,1,0.0728,0.02443,2.11837,11.2553,1.53928,0.000217822,0.000217822,0.000217822
4,367.872,1.65802,1.52932,1.51485,0.89173,0.33333,0.35764,0.17593,2.03768,3.31961,1.50687,0.000295545,0.000295545,0.000295545
5,455.655,1.48043,1.47873,1.33483,0.08635,0.33333,0.07532,0.04347,1.78693,13.533,1.25118,0.000372476,0.000372476,0.000372476
6,546.344,1.57209,1.45049,1.43675,0.03402,0.33333,0.04846,0.02175,1.62665,36.9637,1.49868,0.000448615,0.000448615,0.000448615
7,636.385,1.36296,1.2969,1.32349,0.02387,0.33333,0.01489,0.00846,1.83042,37.9979,1.68451,0.000523962,0.000523962,0.000523962
8,727.814,1.31647,1.27008,1.31741,0.3723,0.66667,0.764,0.54074,1.18461,3.6877,1.27867,0.000598517,0.000598517,0.000598517
9,819.083,1.29192,1.19914,1.38847,0.17819,0.66667,0.2883,0.20297,1.45109,2.68987,1.43112,0.00067228,0.00067228,0.00067228
10,908.939,1.30731,0.98907,1.29023,0.16398,0.83333,0.15609,0.06558,1.8295,8.05235,1.64733,0.000745251,0.000745251,0.000745251
11,1000.32,1.28883,1.01089,1.2192,0.00412,0.5,0.00333,0.00105,3.30935,25.0145,2.56872,0.00081743,0.00081743,0.00081743
12,1100.07,1.31041,0.98058,1.34121,0.07473,0.83333,0.06652,0.0242,2.3683,9.07311,2.27306,0.000888817,0.000888817,0.000888817
13,1203.16,1.26379,0.87635,1.29988,0.03146,0.83333,0.03038,0.01432,1.78621,28.7984,1.57861,0.000959412,0.000959412,0.000959412
14,1297.94,1.27996,1.16666,1.40932,0.3654,0.33333,0.25738,0.1537,1.58494,6.58875,1.70746,0.00102922,0.00102922,0.00102922
15,1392.63,1.32533,1.02957,1.43035,0.00715,0.33333,0.0045,0.00262,2.22196,144.39,2.50376,0.00109823,0.00109823,0.00109823
16,1490.65,1.41335,0.81623,1.50424,0.00215,0.5,0.00155,0.00103,1.93779,254.517,2.8871,0.00116645,0.00116645,0.00116645
17,1584.36,1.37976,0.85742,1.53506,0.00317,0.33333,0.00238,0.00147,1.99465,249.125,8.38833,0.00123387,0.00123387,0.00123387
18,1676.92,1.1407,0.81479,1.35334,0.00121,0.33333,0.0008,0.00046,1.93375,4911.47,2.9889,0.00130051,0.00130051,0.00130051
